Year,Week,From,To,AandB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,17,23/04/2023,29/04/2023,1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,18,30/04/2023,06/05/2023,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,19,07/05/2023,13/05/2023,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,20,14/05/2023,20/05/2023,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,21,21/05/2023,27/05/2023,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,22,28/05/2023,03/06/2023,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,23,04/06/2023,10/06/2023,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,24,11/06/2023,17/06/2023,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,25,18/06/2023,24/06/2023,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,26,25/06/2023,01/07/2023,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,27,02/07/2023,08/07/2023,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,28,09/07/2023,15/07/2023,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,29,16/07/2023,22/07/2023,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,30,23/07/2023,29/07/2023,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,31,30/07/2023,05/08/2023,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,32,06/08/2023,12/08/2023,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,33,13/08/2023,19/08/2023,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,34,20/08/2023,26/08/2023,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,35,27/08/2023,02/09/2023,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,36,03/09/2023,09/09/2023,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,37,10/09/2023,16/09/2023,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,38,17/09/2023,23/09/2023,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,39,24/09/2023,30/09/2023,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,40,01/10/2023,07/10/2023,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,41,08/10/2023,14/10/2023,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,42,15/10/2023,21/10/2023,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,43,22/10/2023,28/10/2023,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,44,29/10/2023,04/11/2023,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,45,05/11/2023,11/11/2023,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,46,12/11/2023,18/11/2023,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,47,19/11/2023,25/11/2023,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,48,26/11/2023,02/12/2023,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,49,03/12/2023,09/12/2023,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,50,10/12/2023,16/12/2023,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,51,17/12/2023,23/12/2023,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,52,24/12/2023,30/12/2023,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,31/12/2023,06/01/2024,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,2,07/01/2024,13/01/2024,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,14/01/2024,20/01/2024,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,4,21/01/2024,27/01/2024,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,5,28/01/2024,03/02/2024,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,6,04/02/2024,10/02/2024,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,7,11/02/2024,17/02/2024,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
